Tipologia intervento,Tipologia di collettori,Utilizzo,N,Marca,Modello,Area AG [m2],Area Aa [m2],Energia Qcol (50°C) [kWht/anno],Energia Qcol (75°C) [kWht/anno],Energia Qsol (50°C) [kWht/anno],Energia Qsol (75°C) [kWht/anno],Energia Qsol (150°C) [kWht/anno],Energia QL [MJ/anno],Producibilità Specifica requisiti d'accesso [kWht/m2anno]
"2.C,Piani,Solo ACS,,AcquaPower,ASC 3.00H,""3,00 m2"",,1552,893,,,,,""517,33"""
"2.C,Piani,Solo ACS,,AcquaPower,ASC 3.00V,""3,00 m2"",,1552,893,,,,,""517,33"""
"2.C,Piani,ACS e riscaldamento,,BERETTA,SCF 25/4B A,""2,50"",""2,39"",1184,652,,,,,""473,00"""
"2.C,Piani,Solo riscaldamento,,BERETTA,SCF 25/4B A,""2,50"",""2,39"",1184,652,,,,,""473,00"""
"2.C,Piani,Solo ACS,,BERETTA,SCF-20B (*) - CP20TSS (**),""1,89"",""1,77"",731,423,,,,,""386,00"""
"2.C,Piani,ACS e riscaldamento,,BERETTA,SCF-20B (*) - CP20TSS (**),""1,89"",""1,77"",731,423,,,,,""386,00"""
"2.C,Piani,Solo riscaldamento,,BERETTA,SCF-20B (*) - CP20TSS (**),""1,89"",""1,77"",731,423,,,,,""386,00"""
"2.C,Piani,Solo ACS,,BERETTA,SCF-25/4B,""2,30"",""2,15"",1055,638,,,,,""458,70"""
"2.C,Piani,ACS e riscaldamento,,BERETTA,SCF-25/4B,""2,30"",""2,15"",1055,638,,,,,""458,70"""
"2.C,Piani,Solo riscaldamento,,BERETTA,SCF-25/4B,""2,30"",""2,15"",1055,638,,,,,""458,70"""
"2.C,Piani,Solo ACS,,BERETTA,SCF-25B (*) - CP25TVS (**),""2,29"",""2,15"",1031,619,,,,,""450,00"""
"2.C,Piani,ACS e riscaldamento,,BERETTA,SCF-25B (*) - CP25TVS (**),""2,29"",""2,15"",1031,619,,,,,""450,00"""
"2.C,Piani,Solo riscaldamento,,BERETTA,SCF-25B (*) - CP25TVS (**),""2,29"",""2,15"",1031,619,,,,,""450,00"""
"2.C,Piani,ACS e riscaldamento,1,Bongioanni,EcoSolar AP4-NP/1.4,""1,36"",""1,22"",613,401,,,,,""450,74"""
"2.C,Piani,ACS e riscaldamento,1,Bongioanni,EcoSolar AP4-NP/1.8,""1,83"",""1,67"",825,540,,,,,""450,82"""
"2.C,Piani,ACS e riscaldamento,1,Bongioanni,EcoSolar AP4-NP/2.0,""2,00"",""1,82"",902,590,,,,,""451,00"""
"2.C,Piani,ACS e riscaldamento,1,Bongioanni,EcoSolar AP4-NP/2.3,""2,31"",""2,11"",1042,681,,,,,""451,08"""
"2.C,impianti solari termici factory made,Solo ACS,1,Bongioanni,""EcoSolar System CRN 200 1x2,3"",""2,31"",""2,11"",,,,,,4478,""589,52"""
"2.C,impianti solari termici factory made,Solo ACS,2,Bongioanni,""EcoSolar System CRN 300 2x2,3"",""2,31"",""2,11"",,,,,,8073,""531,40"""
"2.C,Piani,ACS e riscaldamento,,Bosch,FKC-2S,""2,37"",""2,25"",1047,603,,,,,""441,77"""
"2.C,Piani,ACS e riscaldamento,,Bosch,FKC-2W,""2,37"",""2,25"",1040,584,,,,,""438,82"""
"2.C,sottovuoto,ACS e riscaldamento,,Bosch,VK 120-2 CPC (2 moduli),""2,44"",""2,06"",1405,1172,,,,,""575,82"""
"2.C,Piani,ACS e riscaldamento,,Buderus,Logasol SKN4.0-S,""2,37"",""2,25"",1047,603,,,,,""441,77"""
"2.C,Piani,ACS e riscaldamento,,Buderus,Logasol SKN4.0-W,""2,37"",""2,25"",1040,584,,,,,""438,82"""
"2.C,sottovuoto,ACS e riscaldamento,,Buderus,Logasol SKR10 CPC (2 moduli),""2,44"",""2,06"",1405,1172,,,,,""575,82"""
"2.C,impianti solari termici factory made,solo ACS,1,CHAFFOTEAUX,ZELIOS THERMO HF-2 150-1 TR,""2,20"",""2,01"",,,,,,3940,""544,50"""
"2.C,impianti solari termici factory made,solo ACS,1,CHAFFOTEAUX,ZELIOS THERMO HF-2 150-1 TT,""2,20"",""2,01"",,,,,,3940,""544,50"""
"2.C,impianti solari termici factory made,solo ACS,1,CHAFFOTEAUX,ZELIOS THERMO HF-2 200-1 TR,""2,20"",""2,01"",,,,,,4533,""626,45"""
"2.C,impianti solari termici factory made,solo ACS,1,CHAFFOTEAUX,ZELIOS THERMO HF-2 200-1 TT,""2,20"",""2,01"",,,,,,4533,""626,45"""
"2.C,impianti solari termici factory made,solo ACS,2,CHAFFOTEAUX,ZELIOS THERMO HF-2 200-2 TR,""2,20"",""2,01"",,,,,,5901,""407,75"""
"2.C,impianti solari termici factory made,solo ACS,2,CHAFFOTEAUX,ZELIOS THERMO HF-2 200-2 TT,""2,20"",""2,01"",,,,,,5901,""407,75"""
"2.C,impianti solari termici factory made,solo ACS,2,CHAFFOTEAUX,ZELIOS THERMO HF-2 300-2 TR,""2,20"",""2,01"",,,,,,8042,""555,69"""
"2.C,impianti solari termici factory made,solo ACS,2,CHAFFOTEAUX,ZELIOS THERMO HF-2 300-2 TT,""2,20"",""2,01"",,,,,,8042,""555,69"""
"2.C,piani,ACS e riscaldamento,,Clivet,FH-XL,""2,37"",,1154,682,,,,,""487,00"""
"2.C,piani,Solo ACS,,Clivet,FH-XL,""2,37"",,1154,682,,,,,""487,00"""
"2.C,piani,ACS e riscaldamento,,Clivet,F-L,""2,00"",,974,575,,,,,""487,00"""
"2.C,piani,Solo ACS,,Clivet,F-L,""2,00"",,974,575,,,,,""487,00"""
"2.C,piani,ACS e riscaldamento,,Clivet,F-XL,""2,37"",,1154,682,,,,,""487,00"""
"2.C,piani,Solo ACS,,Clivet,F-XL,""2,37"",,1154,682,,,,,""487,00"""
"2.C,impianti solari termici factory made,Solo ACS,1,ELCO,Solatron CF-GR 150-1 TR / TT / TT DT,""2,01"",""1,83"",,,,,,3532,""536,13"""
"2.C,impianti solari termici factory made,Solo ACS,1,ELCO,Solatron CF-GR 200-1 TR / TT / TT DT,""2,01"",""1,83"",,,,,,4163,""631,91"""
"2.C,impianti solari termici factory made,Solo ACS,2,ELCO,Solatron CF-GR 200-2 TR / TT / TT DT,""2,01"",""1,83"",,,,,,5897,""447,56"""
"2.C,impianti solari termici factory made,Solo ACS,2,ELCO,Solatron CF-GR 300-2 TR / TT / TT DT,""2,01"",""1,83"",,,,,,7537,""572,02"""
"2.C,Impianti solari termici factory made,Solo ACS,1,ELCO,Solatron N Plus 2.0 150-1,""2,20"",""2,01"",,,,,,3940,""544,00"""
"2.C,Impianti solari termici factory made,Solo ACS,1,ELCO,Solatron N Plus 2.0 200-1,""2,20"",""2,01"",,,,,,4533,""626,00"""
"2.C,Impianti solari termici factory made,Solo ACS,2,ELCO,Solatron N Plus 2.0 300-2,""2,20"",""2,01"",,,,,,8042,""555,00"""
"2.C,Piani,Solo ACS,1,ELCO,Solatron S2.5-1 H,""2,53"",,1173,737,,,,,""463,64"""
"2.C,Piani,Solo ACS,1,ELCO,Solatron S2.5-1 V,""2,53"",,1173,737,,,,,""463,64"""
"2.C,Piani,Solo ACS,,ELCO Italia S.p.A.,Solatron CF 2.0-1,""2,01"",,753,423,,,,,""374,63"""
"2.C,Impianti solari termici factory made,Solo ACS,1,ELCO Italia S.p.A.,Solatron CF-GR 150-1,""2,01"",""1,83"",,,,,,3532,563"
"2.C,Impianti solari termici factory made,Solo ACS,1,ELCO Italia S.p.A.,Solatron CF-GR 200-1,""2,01"",""1,83"",,,,,,4163,""631,00"""
"2.C,Impianti solari termici factory made,Solo ACS,2,ELCO Italia S.p.A.,Solatron CF-GR 200-2,""2,01"",""1,83"",,,,,,5897,""447,00"""
"2.C,Impianti solari termici factory made,Solo ACS,2,ELCO Italia S.p.A.,Solatron CF-GR 300-2,""2,01"",""1,83"",,,,,,7537,""572,00"""
"2.C,Piani,ACS e riscaldamento,,Emmeti,Arcobaleno NS,""2,43"",""2,22"",""998,00"",""607,00"",,,,,""411,00"""
"2.C,Piani,ACS e riscaldamento,,Emmeti,Arcobaleno SRTO,""2,59"",""2,31"",""1127,00"",""668,00"",,,,,""435,00"""
"2.C,Piani,Solo ACS,,Ferroli,SOLAREVO 2.1 V,""2,09"",""1,96"",1026,591,,,,,""490,91"""
"2.C,Piani,Solo riscaldamento,,Ferroli,SOLAREVO 2.1 V,""2,09"",""1,96"",1026,591,,,,,""490,91"""
"2.C,Piani,ACS e riscaldamento,,Ferroli,SOLAREVO 2.1 V,""2,09"",""1,96"",1026,591,,,,,""490,91"""
"2.C,Piani,Solo ACS,,Ferroli,SOLAREVO 2.6 V,""2,60"",""2,44"",1277,736,,,,,""491,15"""
"2.C,Piani,Solo riscaldamento,,Ferroli,SOLAREVO 2.6 V,""2,60"",""2,44"",1277,736,,,,,""491,15"""
"2.C,Piani,ACS e riscaldamento,,Ferroli,SOLAREVO 2.6 V,""2,60"",""2,44"",1277,736,,,,,""491,15"""
"2.C,impianti solari termici factory made,Solo ACS,1,Ferroli,""SOLAREVO NAT 160L/ 2,1-TI"",""2,09"",""1,96"",,,,,,3942,""558,67"""
"2.C,impianti solari termici factory made,Solo ACS,1,Ferroli,""SOLAREVO NAT 160L/ 2,1-TP"",""2,09"",""1,96"",,,,,,3942,""558,67"""
"2.C,impianti solari termici factory made,Solo ACS,1,Ferroli,""SOLAREVO NAT 200L/2,1-TI"",""2,09"",""1,96"",,,,,,4762,""674,89"""
"2.C,impianti solari termici factory made,Solo ACS,1,Ferroli,""SOLAREVO NAT 200L/2,1-TP"",""2,09"",""1,96"",,,,,,4762,""674,89"""
"2.C,impianti solari termici factory made,Solo ACS,2,Ferroli,""SOLAREVO NAT 300L/5,2-TI"",""2,60"",""2,44"",,,,,,9082,""516,96"""
"2.C,impianti solari termici factory made,Solo ACS,2,Ferroli,""SOLAREVO NAT 300L/5,2-TP"",""2,60"",""2,44"",,,,,,9082,""516,96"""
"2.C,impianti solari termici factory made,Solo ACS,2,Ferroli,SOLAREVO NAT 300L/5.2-TP 30°,""2,60"",""2,44"",,,,,,9082,""516,96"""
"2.C,Piani,ACS e riscaldamento,,Fondital,HWF 20,""2,06"",,1037,650,,,,,""503,40"""
"2.C,Piani,ACS e riscaldamento,,Fondital,HWF 26,""2,62"",,1319,827,,,,,""503,44"""
"2.C,Impianti solari termici factory made,Solo ACS,1,Fondital,SULPACK NATURAL PLUS 150,""2,11"",""1,91"",,,,,,3892,""566,03"""
"2.C,Impianti solari termici factory made,Solo ACS,1,Fondital,SULPACK NATURAL PLUS 200,""2,11"",""1,91"",,,,,,4105,""597,94"""
"2.C,Impianti solari termici factory made,Solo ACS,2,FONDITAL,SULPACK NATURAL PLUS 300,""2,11"",""1,91"",,,,,,7641,""556,50"""
"2.C,Piani,ACS e riscaldamento,,Fondital,VLC 25,""2,57"",,1095,640,,,,,""426,07"""
"2.C,Piani,ACS e riscaldamento,,HSD,SCV 2.3/2,""2,51 m2"",,1010,542,,,,,""402,00"""
"2.C,Piani,ACS e riscaldamento,,HSD,SRD 2.3 H/2,""2,51 m2"",,1146,677,,,,,""456,00"""
"2.C,Piani,ACS e riscaldamento,,HSD,SRD 2.3 V/2,""2,51 m2"",,1146,677,,,,,""456,00"""
"2.C,Piani,ACS e riscaldamento,,HSD,SRV 2.3/2,""2,51 m2"",,1166,672,,,,,""464,00"""
"2.C,Piani,solo ACS,,IMMERGAS,CP 4M,""2,02"",,""896,00"",""508,00"",,,,,""443,56"""
"2.C,Piani,ACS e riscaldamento,,IMMERGAS,CP 4M,""2,02"",,""896,00"",""508,00"",,,,,""443,56"""
"2.C,Piani,solo riscaldamento,,IMMERGAS,CP 4M,""2,02"",,""896,00"",""508,00"",,,,,""443,56"""
"2.C,Piani,solo ACS,,IMMERGAS,CP 4XL,""2,52"",,""1180,00"",""682,00"",,,,,""468,25"""
"2.C,Piani,ACS e riscaldamento,,IMMERGAS,CP 4XL,""2,52"",,""1180,00"",""682,00"",,,,,""468,25"""
"2.C,Piani,solo riscaldamento,,IMMERGAS,CP 4XL,""2,52"",,""1180,00"",""682,00"",,,,,""468,25"""
"2.C,impianti solari termici factory made,solo ACS,1,IMMERGAS,NATURAL SOL 150 V2,""2,11"",""1,91"",,,,,,3892,""566,00"""
"2.C,impianti solari termici factory made,solo ACS,1,IMMERGAS,NATURAL SOL 200 V2,""2,11"",""1,91"",,,,,,4105,""597,00"""
"2.C,impianti solari termici factory made,solo ACS,2,IMMERGAS,NATURAL SOL 280 V2,""4,22"",""3,81"",,,,,,7641,""559,00"""
"2.C,Piani,Solo ACS,,ITALTHERM,Slim Solar 2.0,""2,01"",,813,443,,,,,""404,48"""
"2.C,Piani,ACS e riscaldamento,,ITALTHERM,Slim Solar 2.0,""2,01"",,813,443,,,,,""404,48"""
"2.C,Piani,Solo riscaldamento,,ITALTHERM,Slim Solar 2.0,""2,01"",,813,443,,,,,""404,48"""
"2.C,Piani,Solo ACS,,ITALTHERM,Slim Solar 2.5,""2,51"",,1016,554,,,,,""404,78"""
"2.C,Piani,ACS e riscaldamento,,ITALTHERM,Slim Solar 2.5,""2,51"",,1016,554,,,,,""404,78"""
"2.C,Piani,Solo riscaldamento,,ITALTHERM,Slim Solar 2.5,""2,51"",,1016,554,,,,,""404,78"""
"2.C,Piani,Solo ACS,,JODO Italia,SOLE200,""2,02 m2"",,896,508,,,,,""443,56"""
"2.C,Piani,ACS e riscaldamento,,JODO Italia,SOLE200,""2,02 m2"",,896,508,,,,,""443,56"""
"2.C,Piani,Solo ACS,,JODO Italia,SOLE250,""2,52 m2"",,1180,682,,,,,""468,25"""
"2.C,Piani,ACS e riscaldamento,,JODO Italia,SOLE250,""2,52 m2"",,1180,682,,,,,""468,25"""
"2.C,Piani,Solo ACS,,Lamborghini Caloreclima,SOLEXTECH 2.1 V,""2,09"",""1,96"",1026,591,,,,,""490,00"""
"2.C,Piani,Solo riscaldamento,,Lamborghini Caloreclima,SOLEXTECH 2.1 V,""2,09"",""1,96"",1026,591,,,,,""490,00"""
"2.C,Piani,ACS e riscaldamento,,Lamborghini Caloreclima,SOLEXTECH 2.1 V,""2,09"",""1,96"",1026,591,,,,,""490,00"""
"2.C,Piani,Solo ACS,,Lamborghini Caloreclima,SOLEXTECH 2.6 V,""2,60"",""2,44"",1277,736,,,,,""491,00"""
"2.C,Piani,Solo riscaldamento,,Lamborghini Caloreclima,SOLEXTECH 2.6 V,""2,60"",""2,44"",1277,736,,,,,""491,00"""
"2.C,Piani,ACS e riscaldamento,,Lamborghini Caloreclima,SOLEXTECH 2.6 V,""2,60"",""2,44"",1277,736,,,,,""491,00"""
"2.C,impianti solari termici factory made,Solo ACS,1,Lamborghini Caloreclima,""SOLEXTECH NAT 160L/ 2,1-TI"",""2,09"",""1,96"",,,,,,3942,""558,67"""
"2.C,impianti solari termici factory made,Solo ACS,1,Lamborghini Caloreclima,""SOLEXTECH NAT 160L/ 2,1-TP"",""2,09"",""1,96"",,,,,,3942,""558,67"""
"2.C,impianti solari termici factory made,Solo ACS,1,Lamborghini Caloreclima,""SOLEXTECH NAT 200L/2,1-TI"",""2,09"",""1,96"",,,,,,4762,""674,89"""
"2.C,impianti solari termici factory made,Solo ACS,1,Lamborghini Caloreclima,""SOLEXTECH NAT 200L/2,1-TP"",""2,09"",""1,96"",,,,,,4762,""674,89"""
"2.C,impianti solari termici factory made,Solo ACS,2,Lamborghini Caloreclima,""SOLEXTECH NAT 300L/5,2-TI"",""2,60"",""2,44"",,,,,,9082,""516,96"""
"2.C,impianti solari termici factory made,Solo ACS,2,Lamborghini Caloreclima,""SOLEXTECH NAT 300L/5,2-TP"",""2,60"",""2,44"",,,,,,9082,""516,96"""
"2.C,impianti solari termici factory made,Solo ACS,2,Lamborghini Caloreclima,SOLEXTECH NAT 300L/5.2-TP 30°,""2,60"",""2,44"",,,,,,9082,""516,96"""
"2.C,a tubi evacuati,Solo ACS,,Naked Energy,Virtu HOT,""0,65"",,""277,00"",""207,00"",,,,,""426,15"""
"2.C,a tubi evacuati,ACS e riscaldamento,,Naked Energy,Virtu HOT,""0,65"",,""277,00"",""207,00"",,,,,""426,15"""
"2.C,a tubi evacuati,Solo riscaldamento,,Naked Energy,Virtu HOT,""0,65"",,""277,00"",""207,00"",,,,,""426,15"""
"2.C,a tubi evacuati,solar cooling a bassa temperatura,,Naked Energy,Virtu HOT,""0,65"",,""277,00"",""207,00"",,,,,""426,15"""
"2.C,a tubi evacuati,solar cooling a media temperatura,,Naked Energy,Virtu HOT,""0,65"",,""277,00"",""207,00"",,,,,""426,15"""
"2.C,a tubi evacuati,calore di processo a bassa temperatura,,Naked Energy,Virtu HOT,""0,65"",,""277,00"",""207,00"",,,,,""426,15"""
"2.C,a tubi evacuati,calore di processo a media temperatura,,Naked Energy,Virtu HOT,""0,65"",,""277,00"",""207,00"",,,,,""426,15"""
"2.C,a tubi evacuati,Solo ACS,,Naked Energy,Virtu HOT HD,""0,47"",,""243,00"",""171,00"",,,,,""517,02"""
"2.C,a tubi evacuati,ACS e riscaldamento,,Naked Energy,Virtu HOT HD,""0,47"",,""243,00"",""171,00"",,,,,""517,02"""
"2.C,a tubi evacuati,Solo riscaldamento,,Naked Energy,Virtu HOT HD,""0,47"",,""243,00"",""171,00"",,,,,""517,02"""
"2.C,a tubi evacuati,solar cooling a bassa temperatura,,Naked Energy,Virtu HOT HD,""0,47"",,""243,00"",""171,00"",,,,,""517,02"""
"2.C,a tubi evacuati,solar cooling a media temperatura,,Naked Energy,Virtu HOT HD,""0,47"",,""243,00"",""171,00"",,,,,""517,02"""
"2.C,a tubi evacuati,calore di processo a bassa temperatura,,Naked Energy,Virtu HOT HD,""0,47"",,""243,00"",""171,00"",,,,,""517,02"""
"2.C,a tubi evacuati,calore di processo a media temperatura,,Naked Energy,Virtu HOT HD,""0,47"",,""243,00"",""171,00"",,,,,""517,02"""
"2.C,Piani,ACS e riscaldamento,,Paradigma Italia,EasySun Plus,""2,53"",,1146,668,,,,,""453,00"""
"2.C,Piani,Solo ACS,,Paradigma Italia,EasySun Plus,""2,53"",,1146,668,,,,,""453,00"""
"2.C,impianti solari termici factory made,Solo ACS,1,PLEION SPA,EGO 110,""1,52"",""1,09"",,,,,,2365,""602,70"""
"2.C,impianti solari termici factory made,Solo ACS,1,PLEION SPA,EGO 150,""1,93"",""1,48"",,,,,,3168,""594,59"""
"2.C,impianti solari termici factory made,Solo ACS,1,PLEION SPA,EGO 180,""2,35"",""1,86"",,,,,,3926,""586,32"""
"2.C,impianti solari termici factory made,Solo ACS,1,PLEION SPA,EGO 220,""2,77"",""2,25"",,,,,,4727,""583,58"""
"2.C,impianti solari termici factory made,Solo ACS,1,PLEION SPA,EGO 260,""3,18"",""2,64"",,,,,,5693,""599,01"""
"2.C,impianti solari termici factory made,Solo ACS,1,PLEION SPA,EGO PRIME 110,""1,28"",""1,09"",,,,,,2365,""602,70"""
"2.C,impianti solari termici factory made,Solo ACS,1,PLEION SPA,EGO PRIME 150,""1,68"",""1,48"",,,,,,3168,""594,59"""
"2.C,impianti solari termici factory made,Solo ACS,1,PLEION SPA,EGO PRIME 180,""2,08"",""1,86"",,,,,,3926,""586,32"""
"2.C,impianti solari termici factory made,Solo ACS,1,PLEION SPA,EGO PRIME 220,""2,48"",""2,25"",,,,,,4727,""583,58"""
"2.C,impianti solari termici factory made,Solo ACS,1,PLEION SPA,EGO PRIME 260,""2,88"",""2,64"",,,,,,5693,""599,01"""
"2.C,Piani,Solo ACS,,PLEION SPA,KSF 25D,""2,52"",,1261,806,,,,,""500,40"""
"2.C,Piani,ACS e riscaldamento,,PLEION SPA,KSF 25D,""2,52"",,1261,806,,,,,""500,40"""
"2.C,Piani,Solo riscaldamento,,PLEION SPA,KSF 25D,""2,52"",,1261,806,,,,,""500,40"""
"2.C,Piani,calore di processo a bassa temperatura,,PLEION SPA,KSF 25D,""2,52"",,1261,806,,,,,""500,40"""
"2.C,Piani,Solo ACS,,PLEION SPA,KSF P26,""2,62"",,1392,855,,,,,""531,30"""
"2.C,Piani,ACS e riscaldamento,,PLEION SPA,KSF P26,""2,62"",,1392,855,,,,,""531,30"""
"2.C,Piani,Solo riscaldamento,,PLEION SPA,KSF P26,""2,62"",,1392,855,,,,,""531,30"""
"2.C,Piani,calore di processo a bassa temperatura,,PLEION SPA,KSF P26,""2,62"",,1392,855,,,,,""531,30"""
"2.C,Piani,Solo ACS,,PLEION SPA,UNIKO P21,""2,06"",,1094,673,,,,,""531,07"""
"2.C,Piani,ACS e riscaldamento,,PLEION SPA,UNIKO P21,""2,06"",,1094,673,,,,,""531,07"""
"2.C,Piani,Solo riscaldamento,,PLEION SPA,UNIKO P21,""2,06"",,1094,673,,,,,""531,07"""
"2.C,Piani,calore di processo a bassa temperatura,,PLEION SPA,UNIKO P21,""2,06"",,1094,673,,,,,""531,07"""
"2.C,sottovuoto,Solo ACS,,PLEION SPA,X-RAY 10 R,""2,12"",,1234,946,,,,,""582,08"""
"2.C,sottovuoto,ACS e riscaldamento,,PLEION SPA,X-RAY 10 R,""2,12"",,1234,946,,,,,""582,08"""
"2.C,sottovuoto,Solo riscaldamento,,PLEION SPA,X-RAY 10 R,""2,12"",,1234,946,,,,,""582,08"""
"2.C,sottovuoto,calore di processo a bassa temperatura,,PLEION SPA,X-RAY 10 R,""2,12"",,1234,946,,,,,""582,08"""
"2.C,sottovuoto,solar cooling a bassa temperatura,,PLEION SPA,X-RAY 10 R,""2,12"",,1234,946,,,,,""582,08"""
"2.C,sottovuoto,Solo ACS,,PLEION SPA,X-RAY 15 R,""3,18"",,1975,1607,,,,,""621,07"""
